batch_id,line,machine,shift,material_lot,operator_tenure_months,target_cycle_time_sec,actual_cycle_time_sec,ambient_temp_c,humidity_pct,pressure_bar,vibration_mm_s,tool_age_hours,planned_runtime_min,actual_runtime_min,unplanned_downtime_min,planned_units,good_units,defect_units,scrap_cost_inr,rework_minutes,defect_rate
1,Line_C,M12,Morning,L014,24.8,50.98,51.39,29.81,65.76,4.87,0.731,15.79,414.1,394.42,19.68,193,184,9,435.85,6.85,0.04663
2,Line_B,M04,Night,L052,19.2,41.52,44.42,31.29,45.82,4.791,1.047,30.87,408.14,387.34,20.8,196,189,7,291.58,4.22,0.03571
3,Line_D,M06,Morning,L119,14.3,48.05,45.27,37.22,42.18,6.162,0.784,38.93,432.98,422.54,10.44,385,374,11,439.55,5.06,0.02857
4,Line_C,M13,Morning,L018,12.4,45.83,49.03,27.09,56.19,5.818,0.7,74.78,423.56,402.77,20.79,270,240,30,1372.96,13.0,0.11111
5,Line_A,M13,Evening,L031,21.3,49.36,57.05,32.2,59.82,5.507,0.676,27.81,425.91,407.94,17.97,274,265,9,388.04,4.21,0.03285
6,Line_D,M04,Morning,L013,32.3,45.02,45.64,28.45,39.69,5.395,0.672,25.17,433.62,396.97,36.65,329,315,14,609.76,7.21,0.04255
7,Line_C,M02,Morning,L090,19.6,53.09,58.29,31.52,45.69,4.746,0.75,35.1,405.31,395.3,10.01,295,279,16,611.24,5.23,0.05424
8,Line_D,M06,Morning,L039,39.9,47.41,46.64,27.99,52.23,5.31,1.107,10.0,397.69,396.26,1.43,207,203,4,148.96,2.3,0.01932
9,Line_A,M02,Evening,L030,12.6,54.39,53.44,32.52,34.23,5.557,0.689,89.38,433.81,427.93,5.88,253,246,7,261.56,4.26,0.02767
10,Line_B,M11,Night,L104,12.6,42.57,46.82,29.76,43.01,4.802,1.235,37.16,401.67,390.56,11.11,310,299,11,402.06,5.71,0.03548
11,Line_B,M12,Evening,L080,42.2,43.92,47.27,27.47,54.87,4.976,1.281,3.83,416.97,407.65,9.32,312,296,16,638.3,6.31,0.05128
12,Line_D,M12,Night,L042,15.4,45.29,43.66,32.19,42.37,5.711,1.126,61.86,390.78,388.72,2.06,419,401,18,781.14,10.52,0.04296
13,Line_C,M06,Night,L079,12.2,47.15,46.78,27.7,47.47,5.47,1.111,69.94,442.29,434.83,7.46,310,291,19,625.15,10.27,0.06129
14,Line_D,M07,Night,L067,47.4,45.65,46.75,35.37,51.84,5.107,0.779,44.05,406.14,403.75,2.39,208,199,9,485.28,5.32,0.04327
15,Line_B,M08,Night,L120,22.3,52.41,53.5,32.27,57.25,4.676,0.994,29.43,399.11,393.02,6.09,407,387,20,797.61,6.43,0.04914
16,Line_A,M13,Night,L094,21.0,50.3,52.28,26.78,55.68,4.841,0.888,26.35,404.55,338.72,65.83,272,257,15,654.94,6.48,0.05515
17,Line_C,M16,Morning,L066,8.9,44.09,48.69,33.52,42.76,4.862,0.881,47.1,411.23,408.78,2.46,356,345,11,479.2,5.17,0.0309
18,Line_A,M15,Morning,L060,31.2,45.06,45.79,28.58,43.84,5.54,0.925,44.69,404.45,382.85,21.6,214,212,2,94.36,0.89,0.00935
19,Line_D,M06,Morning,L033,44.5,47.98,51.93,30.68,53.33,5.879,0.798,29.06,395.55,386.4,9.16,225,223,2,84.86,1.46,0.00889
20,Line_C,M03,Evening,L115,13.3,49.74,46.92,31.66,41.93,4.67,0.686,23.89,433.79,431.54,2.25,259,240,19,826.59,8.38,0.07336
21,Line_C,M01,Evening,L041,32.7,44.92,45.41,27.29,63.53,5.115,0.764,30.98,423.53,409.66,13.87,331,319,12,594.97,5.82,0.03625
22,Line_B,M15,Evening,L037,24.9,50.8,51.55,27.46,43.05,4.887,0.943,2.57,388.31,379.94,8.38,225,221,4,198.83,1.84,0.01778
23,Line_D,M16,Night,L072,16.3,49.35,49.47,27.64,47.65,4.92,1.11,9.0,434.19,428.26,5.93,238,222,16,718.02,7.34,0.06723
24,Line_D,M09,Morning,L003,30.1,42.32,47.35,27.97,61.6,5.193,0.835,56.74,431.02,414.82,16.19,199,188,11,508.89,4.72,0.05528
25,Line_C,M02,Night,L019,44.4,52.61,48.55,35.64,53.93,5.984,0.987,11.33,422.09,414.45,7.64,310,290,20,829.47,9.54,0.06452
26,Line_A,M08,Evening,L033,10.4,50.97,46.64,29.51,46.7,6.32,0.487,4.75,418.06,397.24,20.82,240,236,4,182.76,2.53,0.01667
27,Line_B,M12,Evening,L020,29.8,49.68,49.17,33.67,41.54,5.878,0.307,63.22,413.56,388.5,25.06,270,260,10,376.86,5.96,0.03704
28,Line_A,M13,Morning,L082,6.6,50.37,51.3,35.84,57.81,5.098,1.326,81.88,417.11,392.56,24.55,261,240,21,838.24,18.05,0.08046
29,Line_A,M13,Morning,L049,65.7,44.5,51.39,28.56,44.78,5.352,1.0,19.1,365.85,324.82,41.03,275,267,8,273.06,3.78,0.02909
30,Line_C,M13,Evening,L061,19.0,52.8,51.44,29.72,38.9,4.757,0.852,45.25,393.4,376.87,16.53,292,277,15,630.5,8.08,0.05137
31,Line_C,M02,Night,L081,34.9,51.82,59.73,33.09,57.21,5.138,1.161,23.68,414.27,397.92,16.35,342,326,16,637.9,7.21,0.04678
32,Line_D,M11,Night,L089,26.8,44.43,41.13,32.43,43.79,5.163,0.645,91.86,431.02,397.7,33.32,240,234,6,298.09,2.76,0.025
33,Line_B,M16,Night,L109,24.9,57.8,57.0,29.89,52.5,4.719,1.0,52.72,422.24,420.74,1.5,399,388,11,380.35,8.42,0.02757
34,Line_B,M07,Morning,L092,20.7,51.69,50.89,36.04,74.06,5.167,1.0,46.0,426.75,418.64,8.11,259,234,25,1039.69,13.75,0.09653
35,Line_B,M09,Evening,L095,21.3,43.07,46.83,35.31,70.6,5.533,0.963,9.97,434.68,409.47,25.22,212,196,16,605.08,7.78,0.07547
36,Line_A,M05,Evening,L092,19.2,46.74,49.94,24.46,59.27,5.184,1.061,18.73,470.0,461.71,8.29,298,295,3,120.46,1.89,0.01007
37,Line_A,M13,Morning,L072,17.1,50.96,48.37,33.91,63.24,4.526,0.927,46.25,407.24,389.78,17.47,297,287,10,468.39,3.81,0.03367
38,Line_B,M06,Evening,L021,25.6,48.38,48.24,30.39,60.96,5.463,1.238,11.59,412.33,412.1,0.22,187,179,8,275.27,4.13,0.04278
39,Line_A,M16,Morning,L095,9.6,54.56,54.83,26.12,62.98,5.371,0.685,30.86,455.15,447.73,7.42,286,279,7,319.9,4.8,0.02448
40,Line_C,M10,Night,L024,13.1,43.89,47.27,30.45,52.51,5.849,1.069,29.75,435.04,431.59,3.45,306,295,11,492.35,5.99,0.03595
41,Line_B,M06,Night,L079,53.0,45.81,49.78,29.55,44.36,4.525,1.004,28.6,414.12,409.78,4.34,333,314,19,858.76,7.89,0.05706
42,Line_D,M10,Night,L096,12.5,47.25,43.57,34.82,56.09,5.275,0.774,54.49,381.25,375.75,5.5,273,257,16,820.98,9.78,0.05861
43,Line_C,M01,Morning,L090,14.4,49.92,44.43,32.98,44.88,5.809,1.055,18.08,408.9,400.9,8.0,187,180,7,317.36,5.5,0.03743
44,Line_B,M15,Evening,L069,18.9,46.76,44.13,35.39,55.71,4.72,1.042,27.25,421.69,414.9,6.79,338,327,11,462.45,4.44,0.03254
45,Line_D,M08,Night,L066,13.3,48.44,53.41,26.44,43.46,5.98,1.211,71.35,412.42,396.15,16.27,340,323,17,612.82,10.55,0.05
46,Line_D,M08,Evening,L095,9.6,50.97,46.39,23.84,58.75,5.198,1.117,96.05,436.37,421.69,14.68,406,393,13,608.83,9.67,0.03202
47,Line_B,M07,Morning,L104,20.1,48.2,45.84,29.65,71.81,5.255,0.333,113.51,453.54,420.11,33.42,228,213,15,552.19,8.3,0.06579
48,Line_B,M11,Evening,L099,23.1,44.13,42.89,31.05,42.29,5.111,0.809,27.1,426.65,412.85,13.8,293,280,13,616.3,7.23,0.04437
49,Line_C,M13,Evening,L082,23.3,41.62,42.48,25.59,62.87,4.935,1.101,40.26,425.82,412.38,13.44,322,297,25,1000.16,13.64,0.07764
50,Line_A,M11,Night,L001,43.0,42.41,47.35,29.54,64.34,5.946,0.675,67.78,426.33,401.28,25.04,337,329,8,375.27,4.28,0.02374
51,Line_A,M03,Night,L040,22.8,45.82,49.99,32.4,53.4,5.602,1.093,50.86,426.59,405.33,21.25,187,184,3,129.94,1.93,0.01604
52,Line_A,M12,Evening,L036,39.3,44.25,42.61,33.61,59.76,5.795,0.835,60.97,414.68,406.18,8.5,401,398,3,130.04,1.96,0.00748
53,Line_D,M11,Morning,L029,13.8,49.57,50.12,25.87,44.61,5.326,0.908,78.26,445.84,433.89,11.95,207,198,9,361.12,6.69,0.04348
54,Line_C,M16,Evening,L112,9.1,42.05,43.83,34.32,51.96,4.75,1.025,15.95,378.93,355.14,23.79,215,204,11,519.35,6.29,0.05116
55,Line_C,M05,Night,L025,16.0,46.65,47.62,32.94,58.38,5.07,0.676,8.55,437.47,424.85,12.62,364,349,15,672.55,10.46,0.04121
56,Line_D,M13,Morning,L114,33.4,54.28,61.74,37.27,50.45,5.246,0.64,20.15,418.3,406.1,12.2,189,182,7,268.3,4.37,0.03704
57,Line_B,M15,Night,L025,53.7,63.5,64.72,31.02,59.98,5.202,0.806,5.13,439.69,429.04,10.65,310,301,9,403.2,6.59,0.02903
58,Line_C,M01,Morning,L078,29.6,46.53,48.46,29.13,62.32,5.03,0.968,39.94,423.98,417.44,6.53,203,196,7,325.73,5.55,0.03448
59,Line_A,M15,Night,L103,17.8,51.19,46.03,29.5,64.21,5.54,1.094,3.69,417.42,411.91,5.51,329,314,15,504.27,8.89,0.04559
60,Line_A,M13,Night,L053,38.6,48.99,48.74,26.4,61.08,4.436,0.717,7.91,409.01,401.11,7.89,287,275,12,432.77,5.59,0.04181
61,Line_C,M13,Night,L055,23.3,44.97,45.54,24.29,50.11,5.698,1.239,32.8,443.88,394.12,49.76,237,213,24,1082.7,14.01,0.10127
62,Line_B,M16,Morning,L065,30.9,48.9,45.96,28.85,46.37,5.72,0.829,50.5,427.01,424.24,2.76,237,232,5,211.77,2.35,0.0211
63,Line_C,M04,Night,L015,45.1,53.07,52.52,30.27,41.01,4.905,1.123,37.82,420.44,408.63,11.81,393,370,23,960.15,12.75,0.05852
