line,machine,planned_runtime_min,actual_runtime_min,planned_units,good_units,defect_units,target_cycle_time_sec,actual_cycle_time_sec,unplanned_downtime_min,scrap_cost_inr,availability,performance,quality,oee,defect_rate
Line_C,M13,355806.75,338052.97,253377,234088,19289,48.10031839622641,49.904952830188684,17753.78,808105.31,0.9501027453807438,0.9638385704901297,0.9238723325321556,0.8460320899289837,0.07612766746784436
Line_C,M04,369801.0,352113.15,265049,245073,19976,47.99166097838452,49.82375426621161,17687.87,840750.56,0.9521692748261904,0.9632285179065775,0.9246328037457225,0.8480330779651053,0.07536719625427751
Line_C,M09,363736.34,346489.94,258681,239061,19620,48.15936416184971,49.73795375722543,17246.49,821287.21,0.9525854359231744,0.9682618709430442,0.9241536873601076,0.8523951464001527,0.07584631263989237
Line_B,M09,303777.78,288844.31,214912,201374,13538,48.08728275862069,49.795668965517244,14933.38,573248.66,0.950840808699043,0.9656920723752183,0.9370067748659917,0.8603778277088586,0.06299322513400833
Line_B,M13,333994.08,317737.35,236265,221446,14819,48.1810101010101,49.79145202020202,16256.55,620272.39,0.9513262929690249,0.9676562571716424,0.9372780564196982,0.862817725822227,0.06272194358030178
Line_D,M09,299297.32,284752.74,214492,201768,12724,47.81729577464789,49.541408450704225,14544.72,533736.35,0.9514042424436009,0.9651985534934499,0.9406784402215467,0.8638193662623005,0.05932155977845328
Line_B,M04,310854.12,295989.83,216163,202704,13459,47.890972972972975,49.41329729729729,14864.41,567076.37,0.9521824256342494,0.9691920109041664,0.9377368004700157,0.8653881556029579,0.06226319952998432
Line_D,M13,296704.08,281908.35,211060,198540,12520,47.99501416430596,49.54366855524079,14795.57,522532.23,0.9501330416487699,0.9687416286259041,0.9406803752487445,0.8658336644914366,0.059319624751255566
Line_D,M04,310865.38,296422.22,222627,209316,13311,47.534622641509436,49.16171159029649,14442.8,556887.28,0.953538859811279,0.9669033299257992,0.9402094085623037,0.8668541753243382,0.05979059143769624
Line_A,M13,387041.21,367792.42,277494,263300,14194,47.867483731019526,49.52547722342733,19248.49,598755.79,0.950266820424626,0.9665224125972982,0.9488493444903313,0.8714746465311081,0.05115065550966868
Line_A,M09,372119.3,353904.26,264723,251459,13264,48.00580790960452,49.635412429378526,18215.15,558753.51,0.9510505367499079,0.9671685105449136,0.9498947956921008,0.8737380548557735,0.0501052043078992
